purchase_date,price,num_tickets,fare_type,trip_id,passenger_id,star_rating,transaction_id
2023-08-23,57,3,economy,1,198,3,1
2023-08-28,114,1,business,1,78,4,2
2023-09-08,57,3,economy,1,162,4,3
2023-08-29,57,1,economy,1,254,3,4
2023-08-19,57,2,economy,1,35,3,5
2023-08-22,114,1,business,1,200,3,6
2023-09-02,171,2,first,1,22,3,7
2023-08-28,57,1,economy,1,95,4,8
2023-09-10,114,2,business,1,197,2,9
2023-09-07,114,1,business,1,36,3,10
2023-08-15,57,2,economy,1,199,5,11
2023-08-03,57,1,economy,1,214,4,12
2023-08-11,57,1,economy,1,168,4,13
2023-09-08,114,2,business,1,220,4,14
2023-08-22,57,1,economy,1,299,5,15
2023-08-20,114,1,business,1,5,3,16
2023-08-26,57,1,economy,1,114,5,17
2023-08-14,57,5,economy,1,90,3,18
2023-08-01,57,1,economy,1,248,3,19
2023-08-25,57,1,economy,1,169,5,20
2023-09-02,114,1,business,1,79,4,21
2023-08-22,57,3,economy,1,123,5,22
2023-08-27,57,1,economy,1,241,4,23
2023-08-14,57,5,economy,1,149,5,24
2023-09-02,114,1,business,1,192,2,25
2023-08-20,57,2,economy,1,275,5,26
2023-08-26,57,1,economy,1,252,5,27
2023-09-09,114,3,business,1,164,4,28
2023-09-09,171,1,first,1,140,4,29
2023-08-21,57,1,economy,1,230,3,30
2023-08-31,57,1,economy,1,165,5,31
2023-09-02,114,2,business,1,257,5,32
2023-08-12,57,2,economy,1,289,3,33
2023-08-08,57,1,economy,1,205,4,34
2023-08-28,57,1,economy,1,177,5,35
2023-08-23,57,3,economy,1,148,5,36
2023-09-04,171,1,first,1,172,3,37
2023-08-19,57,1,economy,1,120,5,38
2023-08-14,57,5,economy,1,6,4,39
2023-07-25,57,5,economy,1,34,4,40
2023-09-08,114,1,business,1,251,3,41
2023-09-03,114,1,business,1,152,3,42
2023-09-07,57,1,economy,1,163,5,43
2023-08-18,57,1,economy,1,52,4,44
2023-08-17,57,2,economy,1,130,3,45
2023-08-14,57,1,economy,1,288,5,46
2023-08-21,57,1,economy,1,219,4,47
2023-08-10,57,2,economy,1,83,3,48
2023-08-11,57,1,economy,1,282,5,49
2023-08-14,57,2,economy,1,243,3,50
2023-09-08,114,1,business,1,45,4,51
2023-08-30,114,1,business,1,72,4,52
2023-08-24,57,1,economy,1,87,4,53
2023-08-28,57,1,economy,1,17,5,54
2023-08-31,114,1,business,1,186,3,55
2023-09-04,114,1,business,1,93,5,56
2023-08-17,57,4,economy,1,286,4,57
2023-09-15,171,1,first,1,210,4,58
2023-08-30,57,1,economy,1,260,4,59
2023-08-02,57,2,economy,1,176,3,60
2023-09-01,114,2,business,1,274,3,61
2023-10-11,90,1,first,2,128,1,62
2023-09-07,30,3,economy,2,294,1,63
2023-10-06,30,1,economy,2,276,1,64
2023-09-03,30,4,economy,2,239,3,65
2023-10-10,60,1,business,2,251,1,66
2023-09-23,30,2,economy,2,270,1,67
2023-09-30,30,4,economy,2,63,3,68
2023-10-04,30,1,economy,2,189,1,69
2023-09-30,60,1,business,2,240,1,70
2023-09-16,30,5,economy,2,296,2,71
2023-08-31,30,1,economy,2,162,1,72
2023-09-07,30,5,economy,2,286,1,73
2023-10-05,30,1,economy,2,57,2,74
2023-09-20,30,1,economy,2,191,2,75
2023-10-11,60,1,business,2,15,1,76
2023-08-28,30,4,economy,2,50,2,77
2023-10-03,30,1,economy,2,201,2,78
2023-09-18,30,1,economy,2,291,1,79
2023-09-18,30,2,economy,2,161,2,80
2023-09-10,30,3,economy,2,206,3,81
2023-09-24,60,2,business,2,58,1,82
2023-10-14,60,1,business,2,148,1,83
2023-09-25,30,3,economy,2,14,1,84
2023-09-30,30,1,economy,2,129,1,85
2023-09-28,30,1,economy,2,69,1,86
2023-10-11,30,2,economy,2,95,2,87
2023-10-13,60,3,business,2,193,1,88
2023-09-24,30,1,economy,2,230,1,89
2023-09-26,30,5,economy,2,154,1,90
2023-09-27,30,1,economy,2,287,1,91
2023-09-29,30,2,economy,2,17,1,92
2023-09-08,30,2,economy,2,295,2,93
