route_id,train_id,actual_departure,actual_arrival,trip_id,departure_delay,arrival_delay
3,1,2023-09-17 06:17:00,2023-09-17 13:06:00,1,2,6
12,4,2023-10-21 10:27:00,2023-10-21 14:10:00,2,56,54
16,1,2023-11-08 05:27:00,2023-11-08 20:36:00,3,2,59
6,2,2023-02-23 10:35:00,2023-02-23 16:09:00,4,2,89
16,12,2023-10-21 07:33:00,2023-10-21 22:40:00,5,128,183
11,10,2023-12-17 09:36:00,2023-12-17 13:25:00,6,5,9
9,11,2023-03-26 07:08:00,2023-03-26 18:01:00,7,18,12
19,5,2023-06-14 06:01:00,2023-06-14 18:24:00,8,39,43
3,12,2023-06-12 06:15:00,2023-06-12 13:06:00,9,0,6
13,14,2023-01-16 09:36:00,2023-01-16 16:02:00,10,0,0
13,16,2023-11-20 10:56:00,2023-11-20 17:23:00,11,80,81
16,3,2023-09-25 07:12:00,2023-09-25 21:20:00,12,107,103
1,9,2023-04-16 12:04:00,2023-04-16 18:41:00,13,9,98
14,16,2023-05-15 11:04:00,2023-05-15 17:37:00,14,88,95
10,19,2023-03-06 06:55:00,2023-03-06 18:04:00,15,5,15
8,4,2023-12-25 10:39:00,2023-12-25 14:19:00,16,3,3
16,15,2023-09-13 05:26:00,2023-09-13 19:37:00,17,1,0
7,14,2023-07-08 10:42:00,2023-07-08 14:26:00,18,6,10
19,5,2023-06-26 05:27:00,2023-06-26 17:45:00,19,5,4
9,9,2023-09-02 07:54:00,2023-09-02 18:53:00,20,64,64
2,5,2023-06-07 11:57:00,2023-06-07 17:08:00,21,2,5
19,6,2023-02-11 05:28:00,2023-02-11 17:34:00,22,6,-7
17,7,2023-04-27 08:24:00,2023-04-27 14:32:00,23,0,37
14,10,2023-06-20 09:42:00,2023-06-20 16:10:00,24,6,8
18,6,2023-07-02 08:27:00,2023-07-02 14:02:00,25,3,7
13,4,2023-10-04 09:44:00,2023-10-04 16:14:00,26,8,12
14,19,2023-03-15 09:38:00,2023-03-15 16:29:00,27,2,27
4,12,2023-12-25 07:32:00,2023-12-25 14:13:00,28,77,73
10,2,2023-03-02 06:59:00,2023-03-02 18:03:00,29,9,14
19,5,2023-06-25 05:25:00,2023-06-25 17:49:00,30,3,8
16,7,2023-01-27 05:27:00,2023-01-27 19:38:00,31,2,1
7,15,2023-02-21 10:48:00,2023-02-21 14:29:00,32,12,13
14,10,2023-07-20 09:46:00,2023-07-20 16:09:00,33,10,7
9,18,2023-10-12 06:50:00,2023-10-12 17:49:00,34,0,0
1,2,2023-11-09 11:56:00,2023-11-09 17:04:00,35,1,1
7,19,2023-06-26 10:36:00,2023-06-26 14:13:00,36,0,-3
18,13,2023-03-07 08:58:00,2023-03-07 14:19:00,37,34,24
17,15,2023-12-09 08:27:00,2023-12-09 14:02:00,38,3,7
20,16,2023-10-04 05:24:00,2023-10-04 18:23:00,39,2,42
17,10,2023-04-26 08:28:00,2023-04-26 14:01:00,40,4,6
20,2,2023-09-12 07:07:00,2023-09-12 19:36:00,41,105,115
15,2,2023-11-08 05:27:00,2023-11-08 19:47:00,42,2,10
10,7,2023-05-27 06:54:00,2023-05-27 18:53:00,43,4,64
18,10,2023-07-23 09:16:00,2023-07-23 14:45:00,44,52,50
6,10,2023-01-14 10:35:00,2023-01-14 14:44:00,45,2,4
12,14,2023-04-06 10:36:00,2023-04-06 14:22:00,46,65,66
4,16,2023-10-27 07:32:00,2023-10-27 14:54:00,47,77,114
17,4,2023-12-28 08:24:00,2023-12-28 13:54:00,48,0,-1
2,1,2023-03-22 12:41:00,2023-03-22 17:51:00,49,46,48
9,18,2023-05-22 06:57:00,2023-05-22 18:30:00,50,7,41
3,7,2023-07-31 06:15:00,2023-07-31 13:05:00,51,0,5
7,3,2023-11-24 10:40:00,2023-11-24 14:09:00,52,4,-7
17,19,2023-10-01 08:32:00,2023-10-01 15:18:00,53,8,83
19,7,2023-12-21 05:25:00,2023-12-21 17:54:00,54,3,13
15,14,2023-07-20 06:23:00,2023-07-20 20:38:00,55,58,61
1,9,2023-05-31 11:57:00,2023-05-31 16:55:00,56,2,-8
4,15,2023-03-03 06:21:00,2023-03-03 13:02:00,57,6,2
4,7,2023-09-01 06:19:00,2023-09-01 13:49:00,58,4,49
18,18,2023-04-10 08:29:00,2023-04-10 14:10:00,59,5,15
3,1,2023-03-07 06:15:00,2023-03-07 12:53:00,60,0,-7
1,10,2023-05-17 12:03:00,2023-05-17 18:14:00,61,8,71
